instance_id,sentence
poema_del_alma_000,"Entre nosotros crece la ropa en las mañanas se atraviesan mil veces los oficios nos mueven los deberes el futuro las cosas. Por si no fuera mucho alguien propone la medida para que no te vayas -dicen- es necesario el regateo. Pero tus manos son mi tiempo y no quiero jugar a detener la boca y los abrazos. Te irás más tarde -dicen- si encuentro la mesura pero deseo tu cuerpo y este día este preciso cielo la película de hoy la cama próxima tu sudor y tu piel ahora en la tarde. No voy a retener mis frases ni mi aliento no me quiero tragar ni un poco de silencio ni uno solo de los consentimientos. ¿Por qué la luz a medias? ¿Para que no te vayas cuando te irás? Nunca se mete el sol antes de tiempo y se pone lo mismo en días nublados. Yo quiero tu cobija hasta que quieras te doy mientras mis ansias, mis costumbres, mis ruidos, mi placer, mi desmesura, así no sentiré cuando te marches."
poema_del_alma_001,"Caminito del indio, sendero coya sembrado de piedras. Caminito del indio que junta el valle con las estrellas. Caminito que anduvo de sur a norte mi raza vieja antes que en la montaña la Pachamama se ensombreciera. Cantando en el cerro llorando en el río, se agranda en la noche la pena del indio. El sol y la luna y este canto mío besaron sus piedras, camino del indio. En la noche serrana llora la quena su honda nostalgia. Y el camino sabe cuál es la coya que el indio llama. Se levanta en la noche la voz doliente de la baguala. Y el camino lamenta ser el culpable de la distancia."
poema_del_alma_002,"Tú piensas que eres distinto porque te dicen poeta, y tienes un mundo aparte más allá de las estrellas. De tanto mirar la luna ya nada sabes mirar, eres como un pobre ciego que no sabe adónde va... Vete a mirar los mineros, los hombres en el trigal, y cántale a los que luchan por un pedazo de pan. Poeta de tiernas rimas, vete a vivir a la selva, y aprenderás muchas cosas del hachero y sus miserias. Vive junto con el pueblo, no lo mires desde afuera, que lo primero es ser hombre, y lo segundo, poeta."
poema_del_alma_003,"Si una guitarra triste me dijera que no quiere morir entristecida, me pondría a rezar sobre su herida con tal de recobrar su primavera. Si un triste trovador hoy me pidiera un poquito de luz para su vida, toda la selva en fuego convertida para su corazón yo le ofreciera. Mas, de poco valió la proclamada pujanza de mi anhelo, si callada la muerte te llevó, Daniel Reguera. Pasa tu zamba por la noche oscura, y el eco de tu voz en la llanura sigue buscando luz y primavera."
poema_del_alma_004,"Las cosas que mueren jamás resucitan, las cosas que mueren no tornan jamás. ¡Se quiebran los vasos y el vidrio que queda es polvo por siempre y por siempre será! Cuando los capullos caen de la rama dos veces seguidas no florecerán... ¡Las flores tronchadas por el viento impío se agotan por siempre, por siempre jamás! ¡Los días que fueron, los días perdidos, los días inertes ya no volverán! ¡Qué tristes las horas que se desgranaron bajo el aletazo de la soledad! ¡Qué tristes las sombras, las sombras nefastas, las sombras creadas por nuestra maldad! ¡Oh, las cosas idas, las cosas marchitas, las cosas celestes que así se nos van! ¡Corazón... silencia!... ¡Cúbrete de llagas!... -de llagas infectas- ¡cúbrete de mal!... ¡Que todo el que llegue se muera al tocarte, corazón maldito que inquietas mi afán! ¡Adiós para siempre mis dulzuras todas! ¡Adiós mi alegría llena de bondad! ¡Oh, las cosas muertas, las cosas marchitas, las cosas celestes que no vuelven más! ..."
poema_del_alma_005,"Soy un alma desnuda en estos versos, Alma desnuda que angustiada y sola Va dejando sus pétalos dispersos. Alma que puede ser una amapola, Que puede ser un lirio, una violeta, Un peñasco, una selva y una ola. Alma que como el viento vaga inquieta Y ruge cuando está sobre los mares, Y duerme dulcemente en una grieta. Alma que adora sobre sus altares, Dioses que no se bajan a cegarla; Alma que no conoce valladares. Alma que fuera fácil dominarla Con sólo un corazón que se partiera Para en su sangre cálida regarla. Alma que cuando está en la primavera Dice al invierno que demora: vuelve, Caiga tu nieve sobre la pradera. Alma que cuando nieva se disuelve En tristezas, clamando por las rosas con que la primavera nos envuelve. Alma que a ratos suelta mariposas A campo abierto, sin fijar distancia, Y les dice: libad sobre las cosas. Alma que ha de morir de una fragancia De un suspiro, de un verso en que se ruega, Sin perder, a poderlo, su elegancia. Alma que nada sabe y todo niega Y negando lo bueno el bien propicia Porque es negando como más se entrega. Alma que suele haber como delicia Palpar las almas, despreciar la huella, Y sentir en la mano una caricia. Alma que siempre disconforme de ella, Como los vientos vaga, corre y gira; Alma que sangra y sin cesar delira Por ser el buque en marcha de la estrella."
poema_del_alma_006,"Quisiera esta tarde divina de octubre pasear por la orilla lejana del mar; que la arena de oro, y las aguas verdes, y los cielos puros me vieran pasar. Ser alta, soberbia, perfecta, quisiera, como una romana, para concordar con las grandes olas, y las rocas muertas y las anchas playas que ciñen el mar. Con el paso lento, y los ojos fríos y la boca muda, dejarme llevar; ver cómo se rompen las olas azules contra los granitos y no parpadear; ver cómo las aves rapaces se comen los peces pequeños y no despertar; pensar que pudieran las frágiles barcas hundirse en las aguas y no suspirar; ver que se adelanta, la garganta al aire, el hombre más bello, no desear amar... Perder la mirada, distraídamente, perderla y que nunca la vuelva a encontrar: y, figura erguida, entre cielo y playa, sentirme el olvido perenne del mar."
poema_del_alma_007,"Esta noche al oído me has dicho dos palabras Comunes. Dos palabras cansadas De ser dichas. Palabras Que de viejas son nuevas. Dos palabras tan dulces que la luna que andaba Filtrando entre las ramas Se detuvo en mi boca. Tan dulces dos palabras Que una hormiga pasea por mi cuello y no intento Moverme para echarla. Tan dulces dos palabras ?Que digo sin quererlo? ¡oh, qué bella, la vida!? Tan dulces y tan mansas Que aceites olorosos sobre el cuerpo derraman. Tan dulces y tan bellas Que nerviosos, mis dedos, Se mueven hacia el cielo imitando tijeras. Oh, mis dedos quisieran Cortar estrellas."
poema_del_alma_008,"Ahora quiero amar algo lejano... Algún hombre divino Que sea como un ave por lo dulce, Que haya habido mujeres infinitas Y sepa de otras tierras, y florezca La palabra en sus labios, perfumada: Suerte de selva virgen bajo el viento... Y quiero amarlo ahora. Está la tarde Blanda y tranquila como espeso musgo, Tiembla mi boca y mis dedos finos, Se deshacen mis trenzas poco a poco. Siento un vago rumor... Toda la tierra Está cantando dulcemente... Lejos Los bosques se han cargado de corolas, Desbordan los arroyos de sus cauces Y las aguas se filtran en la tierra Así como mis ojos en los ojos Que estoy sonañdo embelesada... Pero Ya está bajando el sol de los montes, Las aves se acurrucan en sus nidos, La tarde ha de morir y él está lejos... Lejos como este sol que para nunca Se marcha y me abandona, con las manos Hundidas en las trenzas, con la boca Húmeda y temblorosa, con el alma Sutilizada, ardida en la esperanza De este amor infinito que me vuelve Dulce y hermosa..."
poema_del_alma_009,"Oh mar, enorme mar, corazón fiero De ritmo desigual, corazón malo, Yo soy más blanda que ese pobre palo Que se pudre en tus ondas prisionero. Oh mar, dame tu cólera tremenda, Yo me pasé la vida perdonando, Porque entendía, mar, yo me fui dando: «Piedad, piedad para el que más ofenda». Vulgaridad, vulgaridad me acosa. Ah, me han comprado la ciudad y el hombre. Hazme tener tu cólera sin nombre: Ya me fatiga esta misión de rosa. ¿Ves al vulgar? Ese vulgar me apena, Me falta el aire y donde falta quedo, Quisiera no entender, pero no puedo: Es la vulgaridad que me envenena. Me empobrecí porque entender abruma, Me empobrecí porque entender sofoca, ¡Bendecida la fuerza de la roca! Yo tengo el corazón como la espuma. Mar, yo soñaba ser como tú eres, Allá en las tardes que la vida mía Bajo las horas cálidas se abría... Ah, yo soñaba ser como tú eres. Mírame aquí, pequeña, miserable, Todo dolor me vence, todo sueño; Mar, dame, dame el inefable empeño De tornarme soberbia, inalcanzable. Dame tu sal, tu yodo, tu fiereza. ¡Aire de mar!... ¡Oh, tempestad! ¡Oh enojo! Desdichada de mí, soy un abrojo, Y muero, mar, sucumbo en mi pobreza. Y el alma mía es como el mar, es eso, Ah, la ciudad la pudre y la equivoca; Pequeña vida que dolor provoca, ¡Que pueda libertarme de su peso! Vuele mi empeño, mi esperanza vuele... La vida mía debió ser horrible, Debió ser una arteria incontenible Y apenas es cicatriz que siempre duele."
